22:42:40 Log file: logs/train_20250523_224240.log
22:43:10 ✔ Data split: 1958081/279725/559453 rows ➜ splits
22:43:13 train.csv: samples=1957961  class_dist=[609313 731512 617256]
22:43:13 val.csv: samples=279605  class_dist=[90467 94550 94708]
22:43:13 test.csv: samples=559333  class_dist=[183495 190446 185512]
22:43:19 [train] batch 200/7649 | loss 1.1132 | acc 0.3494
22:43:22 [train] batch 400/7649 | loss 1.1092 | acc 0.3489
22:43:25 [train] batch 600/7649 | loss 1.1077 | acc 0.3479
22:43:29 [train] batch 800/7649 | loss 1.1067 | acc 0.3472
22:43:32 [train] batch 1000/7649 | loss 1.1059 | acc 0.3476
22:43:35 [train] batch 1200/7649 | loss 1.1053 | acc 0.3481
22:43:38 [train] batch 1400/7649 | loss 1.1046 | acc 0.3488
22:43:42 [train] batch 1600/7649 | loss 1.1041 | acc 0.3489
22:43:45 [train] batch 1800/7649 | loss 1.1036 | acc 0.3492
22:43:48 [train] batch 2000/7649 | loss 1.1031 | acc 0.3495
22:43:52 [train] batch 2200/7649 | loss 1.1027 | acc 0.3500
22:43:55 [train] batch 2400/7649 | loss 1.1025 | acc 0.3504
22:43:58 [train] batch 2600/7649 | loss 1.1022 | acc 0.3509
22:44:02 [train] batch 2800/7649 | loss 1.1020 | acc 0.3511
22:44:05 [train] batch 3000/7649 | loss 1.1017 | acc 0.3513
22:44:08 [train] batch 3200/7649 | loss 1.1015 | acc 0.3516
22:44:12 [train] batch 3400/7649 | loss 1.1013 | acc 0.3519
22:44:15 [train] batch 3600/7649 | loss 1.1011 | acc 0.3524
22:44:18 [train] batch 3800/7649 | loss 1.1010 | acc 0.3524
22:44:22 [train] batch 4000/7649 | loss 1.1008 | acc 0.3527
22:44:25 [train] batch 4200/7649 | loss 1.1006 | acc 0.3530
22:44:28 [train] batch 4400/7649 | loss 1.1005 | acc 0.3533
22:44:31 [train] batch 4600/7649 | loss 1.1004 | acc 0.3535
22:44:35 [train] batch 4800/7649 | loss 1.1002 | acc 0.3538
