22:52:12 Log file: logs/train_20250524_225212.log
22:52:44 ✔ Data split: 1958081/279725/559453 rows ➜ splits
22:52:46 train.csv: samples=1957961  class_dist=[ 242173 1465142  250766]
22:52:47 val.csv: samples=279605  class_dist=[ 29458 218014  32253]
22:52:47 test.csv: samples=559333  class_dist=[ 68225 420338  70890]
22:52:52 [train] batch 200/7649 | loss 1.0835 | acc 0.5997
22:52:56 [train] batch 400/7649 | loss 1.0752 | acc 0.5916
22:52:59 [train] batch 600/7649 | loss 1.0713 | acc 0.5857
22:53:02 [train] batch 800/7649 | loss 1.0684 | acc 0.5816
22:53:05 [train] batch 1000/7649 | loss 1.0668 | acc 0.5741
22:53:08 [train] batch 1200/7649 | loss 1.0653 | acc 0.5702
22:53:12 [train] batch 1400/7649 | loss 1.0643 | acc 0.5663
22:53:15 [train] batch 1600/7649 | loss 1.0628 | acc 0.5644
22:53:18 [train] batch 1800/7649 | loss 1.0619 | acc 0.5619
22:53:21 [train] batch 2000/7649 | loss 1.0611 | acc 0.5601
22:53:24 [train] batch 2200/7649 | loss 1.0604 | acc 0.5585
22:53:28 [train] batch 2400/7649 | loss 1.0597 | acc 0.5577
22:53:31 [train] batch 2600/7649 | loss 1.0591 | acc 0.5569
22:53:34 [train] batch 2800/7649 | loss 1.0587 | acc 0.5559
22:53:37 [train] batch 3000/7649 | loss 1.0582 | acc 0.5548
22:53:41 [train] batch 3200/7649 | loss 1.0578 | acc 0.5539
22:53:44 [train] batch 3400/7649 | loss 1.0575 | acc 0.5530
22:53:47 [train] batch 3600/7649 | loss 1.0573 | acc 0.5520
22:53:51 [train] batch 3800/7649 | loss 1.0569 | acc 0.5517
22:53:54 [train] batch 4000/7649 | loss 1.0566 | acc 0.5511
22:53:57 [train] batch 4200/7649 | loss 1.0563 | acc 0.5508
22:54:00 [train] batch 4400/7649 | loss 1.0559 | acc 0.5505
22:54:03 [train] batch 4600/7649 | loss 1.0558 | acc 0.5498
22:54:07 [train] batch 4800/7649 | loss 1.0555 | acc 0.5497
22:54:10 [train] batch 5000/7649 | loss 1.0552 | acc 0.5492
22:54:13 [train] batch 5200/7649 | loss 1.0551 | acc 0.5490
22:54:16 [train] batch 5400/7649 | loss 1.0548 | acc 0.5492
22:54:20 [train] batch 5600/7649 | loss 1.0546 | acc 0.5492
22:54:23 [train] batch 5800/7649 | loss 1.0544 | acc 0.5491
22:54:26 [train] batch 6000/7649 | loss 1.0543 | acc 0.5492
22:54:29 [train] batch 6200/7649 | loss 1.0542 | acc 0.5491
22:54:33 [train] batch 6400/7649 | loss 1.0540 | acc 0.5492
22:54:36 [train] batch 6600/7649 | loss 1.0538 | acc 0.5492
22:54:39 [train] batch 6800/7649 | loss 1.0537 | acc 0.5494
22:54:42 [train] batch 7000/7649 | loss 1.0536 | acc 0.5493
22:54:46 [train] batch 7200/7649 | loss 1.0535 | acc 0.5492
22:54:49 [train] batch 7400/7649 | loss 1.0533 | acc 0.5493
22:54:52 [train] batch 7600/7649 | loss 1.0533 | acc 0.5492
22:54:53 [train] batch 7649/7649 | loss 1.0533 | acc 0.5494
22:55:00 ✔ saved validation confusion matrix → confusion_val/run_20250524_225249/epoch_01.png
22:55:00 Epoch 01 | train 1.0533/0.5494 | val 1.0081/0.5659 | lr 1.00e-05
22:55:00 ✓ save best
22:55:03 [train] batch 200/7649 | loss 1.0518 | acc 0.5461
22:55:07 [train] batch 400/7649 | loss 1.0504 | acc 0.5505
22:55:10 [train] batch 600/7649 | loss 1.0508 | acc 0.5484
22:55:13 [train] batch 800/7649 | loss 1.0504 | acc 0.5476
22:55:16 [train] batch 1000/7649 | loss 1.0504 | acc 0.5482
22:55:20 [train] batch 1200/7649 | loss 1.0497 | acc 0.5505
22:55:23 [train] batch 1400/7649 | loss 1.0492 | acc 0.5520
22:55:26 [train] batch 1600/7649 | loss 1.0492 | acc 0.5531
22:55:29 [train] batch 1800/7649 | loss 1.0490 | acc 0.5538
22:55:33 [train] batch 2000/7649 | loss 1.0489 | acc 0.5537
22:55:36 [train] batch 2200/7649 | loss 1.0491 | acc 0.5537
22:55:39 [train] batch 2400/7649 | loss 1.0489 | acc 0.5548
