15:56:19 Log file: logs/train_20250525_155619.log
15:56:51 ✔ Data split: 1958081/279725/559453 rows ➜ splits
15:56:53 train.csv: samples=1957961  class_dist=[ 242173 1465142  250766]
15:56:54 val.csv: samples=279605  class_dist=[ 29458 218014  32253]
15:56:54 test.csv: samples=559333  class_dist=[ 68225 420338  70890]
15:56:55 CFG:CFG(csv='/data4/private/rmy/hw/data/BTCUSDT_feature_derived.csv', label_col='label', seed=1337, test_pct=0.2, val_pct=0.1, seq_len=120, batch=256, lr=1e-05, epochs=50, patience=7, model='transformer', hidden=256, layers=2, dropout=0.4, nhead=4, resample=True, extra_feats=None, device='cuda')
15:57:03 [train] batch 200/7649 | loss 1.0790 | acc 0.5414
15:57:09 [train] batch 400/7649 | loss 1.0693 | acc 0.5585
15:57:16 [train] batch 600/7649 | loss 1.0669 | acc 0.5572
15:57:22 [train] batch 800/7649 | loss 1.0641 | acc 0.5570
15:57:29 [train] batch 1000/7649 | loss 1.0626 | acc 0.5551
15:57:35 [train] batch 1200/7649 | loss 1.0615 | acc 0.5537
15:57:42 [train] batch 1400/7649 | loss 1.0603 | acc 0.5520
15:57:49 [train] batch 1600/7649 | loss 1.0593 | acc 0.5503
15:57:55 [train] batch 1800/7649 | loss 1.0584 | acc 0.5502
15:58:02 [train] batch 2000/7649 | loss 1.0577 | acc 0.5502
15:58:08 [train] batch 2200/7649 | loss 1.0572 | acc 0.5495
15:58:15 [train] batch 2400/7649 | loss 1.0568 | acc 0.5491
15:58:22 [train] batch 2600/7649 | loss 1.0560 | acc 0.5497
15:58:28 [train] batch 2800/7649 | loss 1.0556 | acc 0.5491
15:58:35 [train] batch 3000/7649 | loss 1.0553 | acc 0.5492
15:58:42 [train] batch 3200/7649 | loss 1.0550 | acc 0.5492
15:58:48 [train] batch 3400/7649 | loss 1.0547 | acc 0.5494
15:58:55 [train] batch 3600/7649 | loss 1.0543 | acc 0.5496
15:59:02 [train] batch 3800/7649 | loss 1.0542 | acc 0.5491
15:59:08 [train] batch 4000/7649 | loss 1.0540 | acc 0.5491
15:59:15 [train] batch 4200/7649 | loss 1.0536 | acc 0.5495
15:59:22 [train] batch 4400/7649 | loss 1.0534 | acc 0.5497
15:59:29 [train] batch 4600/7649 | loss 1.0530 | acc 0.5504
15:59:35 [train] batch 4800/7649 | loss 1.0530 | acc 0.5505
15:59:42 [train] batch 5000/7649 | loss 1.0528 | acc 0.5506
15:59:49 [train] batch 5200/7649 | loss 1.0527 | acc 0.5506
15:59:55 [train] batch 5400/7649 | loss 1.0525 | acc 0.5508
16:00:02 [train] batch 5600/7649 | loss 1.0523 | acc 0.5512
16:00:09 [train] batch 5800/7649 | loss 1.0521 | acc 0.5513
16:00:15 [train] batch 6000/7649 | loss 1.0520 | acc 0.5515
16:00:22 [train] batch 6200/7649 | loss 1.0519 | acc 0.5518
16:00:29 [train] batch 6400/7649 | loss 1.0518 | acc 0.5518
16:00:35 [train] batch 6600/7649 | loss 1.0517 | acc 0.5518
16:00:42 [train] batch 6800/7649 | loss 1.0516 | acc 0.5520
16:00:49 [train] batch 7000/7649 | loss 1.0516 | acc 0.5521
16:00:56 [train] batch 7200/7649 | loss 1.0515 | acc 0.5521
16:01:02 [train] batch 7400/7649 | loss 1.0514 | acc 0.5523
16:01:09 [train] batch 7600/7649 | loss 1.0513 | acc 0.5523
16:01:11 [train] batch 7649/7649 | loss 1.0513 | acc 0.5525
16:01:23 ✔ saved validation confusion matrix → confusion_val/run_20250525_155656/epoch_01.png
16:01:23 Epoch 01 | train 1.0513/0.5525 | val 1.0089/0.5769 | lr 1.00e-05
