00:02:11 Log file: logs/train_20250526_000211.log
00:03:36 ✔ Data split: 1957690/279670/559341 rows ➜ splits
00:03:42 train.csv: samples=1957570  class_dist=[609203 731320 617167]
00:03:42 val.csv: samples=279550  class_dist=[90489 94475 94706]
00:03:44 test.csv: samples=559221  class_dist=[183468 190372 185501]
00:03:45 CFG:CFG(csv='/data4/private/rmy/hw/data/BTCUSDT-feature-label.csv', label_col='label', seed=1337, test_pct=0.2, val_pct=0.1, seq_len=120, batch=256, lr=1e-05, epochs=50, patience=3, model='transformer', hidden=256, layers=2, dropout=0.4, nhead=4, resample=True, extra_feats=['rsi_20', 'rsi_30', 'ma_deviation_100', 'momentum_20', 'ma_deviation_20', 'rsi_60', 'momentum_30', 'momentum_60', 'rsi_100', 'rsi_10', 'ma_deviation_10', 'momentum_10', 'momentum_100', 'rsi_5', 'momentum_5', 'ma_deviation_5', 'obv_change', 'direction'], device='cuda')
00:04:22 [train] batch 200/7647 | loss 1.0996 | acc 0.3624
00:04:58 [train] batch 400/7647 | loss 1.0960 | acc 0.3715
00:05:34 [train] batch 600/7647 | loss 1.0945 | acc 0.3739
00:06:10 [train] batch 800/7647 | loss 1.0940 | acc 0.3757
00:06:46 [train] batch 1000/7647 | loss 1.0930 | acc 0.3775
00:07:22 [train] batch 1200/7647 | loss 1.0925 | acc 0.3784
00:07:58 [train] batch 1400/7647 | loss 1.0921 | acc 0.3787
00:08:34 [train] batch 1600/7647 | loss 1.0917 | acc 0.3797
00:09:10 [train] batch 1800/7647 | loss 1.0913 | acc 0.3801
00:09:46 [train] batch 2000/7647 | loss 1.0909 | acc 0.3803
00:10:22 [train] batch 2200/7647 | loss 1.0906 | acc 0.3810
00:10:57 [train] batch 2400/7647 | loss 1.0902 | acc 0.3817
00:11:33 [train] batch 2600/7647 | loss 1.0899 | acc 0.3822
00:12:09 [train] batch 2800/7647 | loss 1.0898 | acc 0.3823
00:12:45 [train] batch 3000/7647 | loss 1.0895 | acc 0.3828
00:13:21 [train] batch 3200/7647 | loss 1.0893 | acc 0.3833
00:13:57 [train] batch 3400/7647 | loss 1.0891 | acc 0.3835
00:14:33 [train] batch 3600/7647 | loss 1.0889 | acc 0.3839
00:15:09 [train] batch 3800/7647 | loss 1.0887 | acc 0.3843
00:15:45 [train] batch 4000/7647 | loss 1.0885 | acc 0.3846
00:16:21 [train] batch 4200/7647 | loss 1.0884 | acc 0.3848
00:16:57 [train] batch 4400/7647 | loss 1.0882 | acc 0.3849
00:17:33 [train] batch 4600/7647 | loss 1.0880 | acc 0.3852
00:18:10 [train] batch 4800/7647 | loss 1.0879 | acc 0.3855
00:18:46 [train] batch 5000/7647 | loss 1.0877 | acc 0.3858
00:19:23 [train] batch 5200/7647 | loss 1.0875 | acc 0.3860
00:19:59 [train] batch 5400/7647 | loss 1.0874 | acc 0.3861
00:20:36 [train] batch 5600/7647 | loss 1.0873 | acc 0.3864
00:21:12 [train] batch 5800/7647 | loss 1.0872 | acc 0.3864
00:21:49 [train] batch 6000/7647 | loss 1.0871 | acc 0.3866
00:22:25 [train] batch 6200/7647 | loss 1.0870 | acc 0.3867
00:23:02 [train] batch 6400/7647 | loss 1.0869 | acc 0.3868
00:23:39 [train] batch 6600/7647 | loss 1.0868 | acc 0.3870
00:24:15 [train] batch 6800/7647 | loss 1.0867 | acc 0.3872
00:24:52 [train] batch 7000/7647 | loss 1.0866 | acc 0.3874
00:25:28 [train] batch 7200/7647 | loss 1.0865 | acc 0.3875
00:26:05 [train] batch 7400/7647 | loss 1.0864 | acc 0.3877
00:26:41 [train] batch 7600/7647 | loss 1.0864 | acc 0.3879
00:26:50 [train] batch 7647/7647 | loss 1.0863 | acc 0.3879
