                 Feature  Correlation
50       ma_deviation_60     0.071767
48       ma_deviation_30     0.071510
22                rsi_20     0.071108
23                rsi_30     0.069409
52      ma_deviation_100     0.067536
37           momentum_20     0.066564
46       ma_deviation_20     0.064648
24                rsi_60     0.064583
38           momentum_30     0.063835
39           momentum_60     0.058791
25               rsi_100     0.058439
21                rsi_10     0.057482
44       ma_deviation_10     0.056981
36           momentum_10     0.054429
40          momentum_100     0.052296
20                 rsi_5     0.051957
35            momentum_5     0.051736
42        ma_deviation_5     0.048132
34            obv_change     0.032188
19             direction     0.029674
17    lower_shadow_ratio     0.010837
16    upper_shadow_ratio     0.009820
1                    mid     0.006100
41                  ma_5     0.006046
43                 ma_10     0.005989
45                 ma_20     0.005906
47                 ma_30     0.005835
49                 ma_60     0.005715
51                ma_100     0.005627
15  volatility_ratio_100     0.002108
9                atr_100     0.001883
33                   obv     0.001650
8                 atr_60     0.001486
14   volatility_ratio_60     0.001446
31        rel_volume_100     0.001090
0             trade_time     0.001080
27         rel_volume_10     0.000997
7                 atr_30     0.000850
28         rel_volume_20     0.000688
26          rel_volume_5     0.000661
26          rel_volume_5     0.000661
6                 atr_20     0.000595
6                 atr_20     0.000595
5                 atr_10     0.000548
4                  atr_5     0.000500
13   volatility_ratio_30     0.000448
18            body_ratio     0.000430
29         rel_volume_30     0.000348
30         rel_volume_60     0.000330
11   volatility_ratio_10     0.000316
